cal_date,open,high,low,close,volume,mkt_cap
2015-01-05,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-06,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-07,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-08,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-12,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-14,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-15,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-19,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-20,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-21,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-22,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-23,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-26,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-28,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-29,27.91,33.49,27.91,33.49,74.0,0.0
2015-01-30,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-02,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-03,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-04,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-05,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-06,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-11,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-12,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-25,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-26,27.91,33.49,27.91,33.49,74.0,0.0
2015-02-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-02,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-03,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-04,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-05,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-06,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-11,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-12,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-18,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-19,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-20,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-23,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-24,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-25,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-26,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-30,27.91,33.49,27.91,33.49,74.0,0.0
2015-03-31,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-01,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-02,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-03,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-07,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-08,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-14,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-15,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-20,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-21,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-22,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-23,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-24,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-28,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-29,27.91,33.49,27.91,33.49,74.0,0.0
2015-04-30,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-04,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-05,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-06,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-07,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-08,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-11,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-12,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-14,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-15,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-18,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-19,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-20,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-21,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-22,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-25,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-26,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-28,27.91,33.49,27.91,33.49,74.0,0.0
2015-05-29,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-01,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-02,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-03,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-04,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-05,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-08,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-11,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-12,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-15,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-18,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-19,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-23,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-24,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-25,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-26,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-29,27.91,33.49,27.91,33.49,74.0,0.0
2015-06-30,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-01,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-02,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-03,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-06,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-07,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-08,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-14,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-15,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-20,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-21,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-22,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-23,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-24,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-28,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-29,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-30,27.91,33.49,27.91,33.49,74.0,0.0
2015-07-31,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-03,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-04,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-05,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-06,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-07,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-11,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-12,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-13,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-14,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-18,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-19,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-20,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-21,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-24,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-25,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-26,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-27,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-28,27.91,33.49,27.91,33.49,74.0,0.0
2015-08-31,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-01,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-02,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-07,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-08,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-09,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-10,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-11,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-14,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-15,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-16,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-17,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-18,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-21,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-22,27.91,33.49,27.91,33.49,74.0,0.0
2015-09-23,27.91,33.49,27.91,33.49,74.0,0.0
