cal_date,open,high,low,close,volume,mkt_cap
2015-01-05,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-06,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-07,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-08,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-09,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-12,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-13,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-14,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-15,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-16,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-19,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-20,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-21,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-22,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-23,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-26,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-27,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-28,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-29,91.3,97.2,66.3,74.92,583306.85,0.0
2015-01-30,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-02,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-03,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-04,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-05,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-06,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-09,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-10,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-11,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-12,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-13,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-16,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-17,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-25,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-26,91.3,97.2,66.3,74.92,583306.85,0.0
2015-02-27,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-02,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-03,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-04,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-05,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-06,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-09,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-10,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-11,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-12,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-13,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-16,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-17,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-18,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-19,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-20,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-23,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-24,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-25,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-26,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-27,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-30,91.3,97.2,66.3,74.92,583306.85,0.0
2015-03-31,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-01,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-02,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-03,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-07,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-08,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-09,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-10,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-13,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-14,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-15,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-16,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-17,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-20,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-21,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-22,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-23,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-24,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-27,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-28,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-29,91.3,97.2,66.3,74.92,583306.85,0.0
2015-04-30,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-04,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-05,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-06,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-07,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-08,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-11,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-12,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-13,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-14,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-15,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-18,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-19,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-20,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-21,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-22,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-25,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-26,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-27,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-28,91.3,97.2,66.3,74.92,583306.85,0.0
2015-05-29,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-01,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-02,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-03,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-04,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-05,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-08,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-09,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-10,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-11,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-12,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-15,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-16,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-17,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-18,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-19,91.3,97.2,66.3,74.92,583306.85,0.0
2015-06-23,91.3,97.2,66.3,74.92,583306.85,0.0
